"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 22:09:05 GMT 2023","Thu Jul 06 22:09:05 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login NORMAL",""
"passed","Thu Jul 06 22:09:00 GMT 2023","Thu Jul 06 22:09:00 GMT 2023","0","","","","","","Valid Login, Logout, and invalid Login",""
"passed","Thu Jul 06 22:09:00 GMT 2023","Thu Jul 06 22:09:00 GMT 2023","0","","","","","","Sign Up valid",""
"passed","Thu Jul 06 22:09:05 GMT 2023","Thu Jul 06 22:09:05 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login LOW",""
