"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 13:26:41 GMT 2023","Mon Jul 10 13:26:41 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login NORMAL",""
"passed","Mon Jul 10 13:26:41 GMT 2023","Mon Jul 10 13:26:41 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login LOW",""
"passed","Mon Jul 10 13:26:42 GMT 2023","Mon Jul 10 13:26:42 GMT 2023","1","","","","","","Sign Up valid",""
"passed","Mon Jul 10 13:26:39 GMT 2023","Mon Jul 10 13:26:39 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login",""
