"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 23:17:05 GMT 2023","Wed Jul 12 23:17:05 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login NORMAL",""
"passed","Wed Jul 12 23:17:17 GMT 2023","Wed Jul 12 23:17:17 GMT 2023","0","","","","","","Valid Login, Logout, and invalid Login",""
"passed","Wed Jul 12 23:17:05 GMT 2023","Wed Jul 12 23:17:05 GMT 2023","0","","","","","","Sign Up valid",""
"passed","Wed Jul 12 23:17:05 GMT 2023","Wed Jul 12 23:17:05 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login LOW",""
