"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 14:27:39 GMT 2023","Fri Jul 07 14:27:39 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login NORMAL",""
"passed","Fri Jul 07 14:27:39 GMT 2023","Fri Jul 07 14:27:39 GMT 2023","0","","","","","","Valid Login, Logout, and invalid Login LOW",""
"passed","Fri Jul 07 14:27:37 GMT 2023","Fri Jul 07 14:27:37 GMT 2023","0","","","","","","Sign Up valid",""
"passed","Fri Jul 07 14:27:43 GMT 2023","Fri Jul 07 14:27:43 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login",""
