"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 07:16:04 GMT 2023","Wed Jul 12 07:16:04 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login NORMAL",""
"passed","Wed Jul 12 07:16:07 GMT 2023","Wed Jul 12 07:16:07 GMT 2023","0","","","","","","Sign Up valid",""
"passed","Wed Jul 12 07:16:04 GMT 2023","Wed Jul 12 07:16:04 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login LOW",""
"passed","Wed Jul 12 07:16:06 GMT 2023","Wed Jul 12 07:16:06 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login",""
