"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 18:21:58 GMT 2023","Fri Jul 07 18:21:58 GMT 2023","0","","","","","","Sign Up valid",""
"passed","Fri Jul 07 18:21:57 GMT 2023","Fri Jul 07 18:21:57 GMT 2023","0","","","","","","Valid Login, Logout, and invalid Login NORMAL",""
"passed","Fri Jul 07 18:21:58 GMT 2023","Fri Jul 07 18:21:58 GMT 2023","1","","","","","","Valid Login, Logout, and invalid Login",""
"passed","Fri Jul 07 18:21:57 GMT 2023","Fri Jul 07 18:21:57 GMT 2023","0","","","","","","Valid Login, Logout, and invalid Login LOW",""
